,City,Country,Date,Latitude,Longtitude,Max Temperature,Humidity,Cloudiness,Wind Speed
93,kapaa,US,1635620051,22.0752,-159.319,76.19,98,2,2.82
94,meulaboh,ID,1635620051,4.1363,96.1285,75.6,90,100,4.14
95,birjand,IR,1635619958,32.8663,59.2211,57.58,29,0,2.93
96,gizo,SB,1635620051,-8.103,156.8419,82.29,76,94,7.02
97,iqaluit,CA,1635620052,63.7506,-68.5145,37.13,64,90,13
98,upernavik,GL,1635620052,72.7868,-56.1549,26.24,57,100,8.37
99,maltahohe,NA,1635620052,-24.8333,16.9833,69.24,17,0,12.1
100,pevek,RU,1635620053,69.7008,170.3133,-1.41,96,100,10.07
101,barrow,US,1635619802,71.2906,-156.7887,15.82,79,90,4.61
102,kaitangata,NZ,1635620053,-46.2817,169.8464,50.94,80,100,3
103,mahebourg,MU,1635620053,-20.4081,57.7,71.26,76,36,6.73
104,alofi,NU,1635619254,-19.0595,-169.9187,76.73,72,100,15.12
105,pisco,PE,1635620054,-13.7,-76.2167,67.01,83,14,8.66
106,kitimat,CA,1635619772,54.0524,-128.6534,37.9,29,100,5.01
107,agadez,NE,1635620054,19.75,10.25,82.31,20,94,10.78
110,sarny,UA,1635620054,51.338,26.6019,49.12,62,77,12.8
111,beloha,MG,1635620055,-25.1667,45.05,68,76,6,13.78
112,kutum,SD,1635620055,14.2,24.6667,78.48,15,2,5.19
114,cabo san lucas,MX,1635619878,22.8909,-109.9124,88.61,65,11,6.96
115,bredasdorp,ZA,1635620055,-34.5322,20.0403,60.28,92,100,5.23
116,jumla,NP,1635620056,29.2747,82.1838,43.47,78,2,3.96
117,georgetown,MY,1635619964,5.4112,100.3354,77.9,93,20,3
118,yellowknife,CA,1635619961,62.456,-114.3525,30.42,88,40,5.99
120,farmington,US,1635619922,36.7281,-108.2187,70.11,35,0,3
121,batemans bay,AU,1635620056,-35.7167,150.1833,50.09,82,6,4.34
122,nikolskoye,RU,1635620057,59.7035,30.7861,45.88,93,91,7.29
123,netarhat,IN,1635620057,23.4833,84.2667,55.78,78,46,2.04
125,bengkulu,ID,1635620057,-3.8004,102.2655,75.79,92,100,4.5
126,aurillac,FR,1635620058,44.9167,2.45,56.28,88,90,4.61
128,port macquarie,AU,1635619765,-31.4333,152.9167,57.09,94,40,6.91
129,east london,ZA,1635620058,-33.0153,27.9116,61.74,94,20,9.22
130,ust-tsilma,RU,1635619929,65.441,52.1498,22.26,97,100,4.5
131,nizhnyaya tavda,RU,1635620058,57.6731,66.1725,29.12,96,95,7.65
132,petropavlovka,RU,1635620059,50.6114,105.3196,30.27,76,99,2.86
133,avarua,CK,1635620059,-21.2078,-159.775,75.25,64,20,12.66
134,hilo,US,1635619938,19.7297,-155.09,78.24,68,1,6.91
135,beruwala,LK,1635620059,6.4788,79.9828,76.68,91,90,3.67
136,banchory,GB,1635620060,57.0517,-2.4882,46.49,99,0,5.97
137,castro,BR,1635619824,-24.7911,-50.0119,70.02,78,51,7.99
138,yulara,AU,1635620060,-25.2406,130.9889,62.02,63,100,8.52
139,arman,RU,1635620061,59.7,150.1667,22.12,58,100,11.27
140,saint george,US,1635619863,37.1041,-113.5841,77.47,37,9,2.42
141,lagoa,PT,1635619526,39.05,-27.9833,70.03,90,100,24.23
142,torbay,CA,1635620061,47.6666,-52.7314,52.57,58,20,6.91
143,laguna,US,1635619774,38.421,-121.4238,72.07,76,1,4
144,high level,CA,1635620061,58.5169,-117.136,35.08,50,0,5.79
145,te anau,NZ,1635619807,-45.4167,167.7167,46.33,94,100,6.35
146,tudela,ES,1635620062,42.0617,-1.6045,64.27,77,100,4.94
147,san cristobal,VE,1635619861,7.7669,-72.225,77.18,88,98,3.85
148,salalah,OM,1635620062,17.0151,54.0924,79.72,71,0,9.93
149,christchurch,NZ,1635619794,-43.5333,172.6333,61.92,44,0,4
150,turukhansk,RU,1635620063,65.8167,87.9833,16.14,92,100,11.45
151,ponta do sol,PT,1635620063,32.6667,-17.1,75.83,77,36,7.56
152,viedma,AR,1635620063,-40.8135,-62.9967,59.18,47,61,26.24
155,vardo,NO,1635620064,70.3705,31.1107,39.34,76,92,7.58
156,talnakh,RU,1635620064,69.4865,88.3972,15.93,96,100,4.12
157,kangaatsiaq,GL,1635620064,68.3065,-53.4641,31.21,81,100,15.61
158,longkou,CN,1635620065,37.6508,120.3286,57.97,76,99,4.92
159,tura,IN,1635620065,25.5198,90.2201,64.56,68,0,2.62
160,rock springs,US,1635620065,41.5875,-109.2029,55.24,48,100,4
161,healesville,AU,1635620065,-37.65,145.5167,47.52,99,16,1.05
162,kampong thum,KH,1635620066,12.7111,104.8887,74.34,96,89,4.79
163,lata,PT,1635620066,40.1629,-8.3327,63.91,97,100,3.49
164,saint-philippe,RE,1635620066,-21.3585,55.7679,71.19,81,100,2.62
165,port hardy,CA,1635620067,50.6996,-127.4199,42.8,59,66,5.59
166,tacna,PE,1635620067,-18.0056,-70.2483,68.2,56,0,12.66
167,puerto del rosario,ES,1635620067,28.5004,-13.8627,71.35,73,0,10.36
168,los llanos de aridane,ES,1635619915,28.6585,-17.9182,67.75,83,20,4.61
169,marawi,PH,1635620068,7.9986,124.2928,66.65,95,33,0.36
170,yanam,IN,1635620068,16.7333,82.2167,77.43,89,99,3.71
171,sao filipe,CV,1635620068,14.8961,-24.4956,80.08,73,54,11.95
172,carnarvon,AU,1635620069,-24.8667,113.6333,68.07,64,0,14.97
173,carauari,BR,1635620069,-4.8828,-66.8958,86.65,65,100,1.01
174,una,IN,1635620069,20.8167,71.0333,75.34,44,73,9.89
175,ribeira grande,PT,1635620070,38.5167,-28.7,70.2,88,75,21.85
176,puerto plata,DO,1635620070,19.7934,-70.6884,93.04,59,20,18.41
177,carutapera,BR,1635620070,-1.195,-46.02,83.23,72,33,5.73
178,tiksi,RU,1635620071,71.6872,128.8694,-1.89,96,99,7.29
179,berlevag,NO,1635620071,70.8578,29.0864,38.1,75,92,3.31
180,puerto carreno,CO,1635620071,6.189,-67.4859,87.13,63,100,3.78
181,lao cai,VN,1635620072,22.4833,103.95,67.95,97,100,1.07
183,bethel,US,1635620072,41.3712,-73.414,63.9,93,92,1.99
185,sumbe,AO,1635620072,-11.2061,13.8437,75.65,84,100,11.39
186,touros,BR,1635619938,-5.1989,-35.4608,86.9,68,40,17.98
187,angoche,MZ,1635620073,-16.2325,39.9086,75.54,70,7,9.93
188,bardiyah,LY,1635620073,31.7561,25.0865,71.44,67,2,6.44
190,pirajui,BR,1635620074,-21.9986,-49.4572,89.2,29,84,1.39
192,mbandaka,CD,1635620074,0.0487,18.2603,77.47,78,93,0.65
193,saint anthony,US,1635620074,45.0205,-93.218,58.14,67,20,1.99
194,vila velha,BR,1635620074,-20.3297,-40.2925,71.92,93,100,4.72
196,west wendover,US,1635620075,40.7391,-114.0733,58.14,44,100,2.8
197,miles city,US,1635619791,46.4083,-105.8406,43.52,81,90,17.27
199,la rioja,ES,1635619840,42.25,-2.5,55.04,76,100,5.55
200,zhanaozen,KZ,1635620075,43.3,52.8,47.59,59,0,2.93
201,husavik,IS,1635619516,66.0449,-17.3389,39.11,92,100,14.9
202,chuy,UY,1635620076,-33.6971,-53.4616,71.29,74,90,14.5
203,inhambane,MZ,1635620076,-23.865,35.3833,71.58,78,0,11.99
204,poum,NC,1635620076,-20.2333,164.0167,74.73,74,34,5.06
205,khasan,RU,1635619589,42.4308,130.6434,49.03,77,11,5.7
206,treinta y tres,UY,1635620077,-33.2333,-54.3833,74.28,77,100,7.61
207,phangnga,TH,1635620077,8.4509,98.5298,75.24,92,100,1.07
209,russell,US,1635620077,32.3502,-85.1999,60.12,74,90,11.5
